file,id,title,composer,phase,duration_sec,loop_start_sec,loop_end_sec,loop_body_sec,loop,comment
00b.wav,10,少女綺想曲　～ Capriccio(夜舞台版),U2,夜舞台版,72.799,6.345,71.799,65.454,循环,夜の霊夢ステージ曲です。曲名のまま少女綺想曲のアレンジです。\n神社ということでエセ和風な感じになるように作りました。多分。\nこの曲はすでに夏前に作り終えていたのですが、永夜抄の少女綺想曲を聞いて、いじるところ間違えたかなー、と微妙な気分になったりも。\nまあ同じ方向性で作ってしまっては、単なる劣化コピーとなってしまうので、これはこれで良かったのだろうと思うことにします。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
01b.wav,11,魔女達の舞踏会(夜舞台版),U2,夜舞台版,66.479,0.617,65.482,64.865,循环,夜の魔理沙ステージ曲です。\n作り直しているうちに原型を留めなくなった曲その１とも言います。\nこの曲ではわざわざ人に弾いてもらったのですが、弾くことを全く考慮しないで作ったので、奏者には大変苦労をかけてしまいました。\nその分、後になってから編集で苦しむことになることになる訳ですが。\nいやー舞台裏の苦労を書くのは見苦しいですねー。書いちゃったけど。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
02b.wav,12,月時計　～ ルナ・ダイアル(夜舞台版),U2,夜舞台版,86.454,1.737,85.215,83.478,循环,夜の咲夜ステージ曲です。\n原曲と比べると角が取れてしまった感じで、ちょっとキレイ過ぎるかもしれません。捏造部分多いですし。\nこの曲もがんばって生ギターにしようと思ってましたが、色々あってできませんでした。機会があったらコッソリ作り直してみたいです。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
03b.wav,13,人形裁判(夜舞台版),U2,夜舞台版,64.888,2.431,63.849,61.418,循环,夜のアリスステージ曲です。\nさて、この曲は五拍子だったり途中で奇怪な音が入ってたり、キャラ性能同様色物要素満載です。でも変にこねくり回したせいで、気が付いたら原曲のおいしい所が入っていませんでした。がっくり。\n曲とは関係ないのですけれども、2Pカラーに対して個人的に間違った思い入れがあります。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
04b.wav,14,ヴワル魔法図書館(夜舞台版),U2,夜舞台版,88.358,13.059,87.326,74.267,循环,夜のパチュリーステージ曲です。\nステージ自体は夜ですが、照明で昼ステージよりも明るいのでちょっと派手にしてみました。結果として、どうもエキサイティングな動きすぎる大図書館になってしまったようで。\n後半は雰囲気だけ残しつつ、自分でもよく分からない風味です。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
05b.wav,15,東方妖々夢　～ Ancient Temple(夜舞台版),U2,夜舞台版,86.895,14.48,85.832,71.352,循环,夜の妖夢ステージ曲です。\n格闘ゲームとしてはあまりよろしくないイントロですが、会話中に曲が変わってタイミング良く戦闘に入った場合、良い感じで聞けるかもしれません。\n今回作った中では一番原曲を尊重したアレンジです。これでも。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
00c.wav,20,Demystify Feast(特殊阶段),ZUN,特殊阶段,139.89,10.002,138.89,128.888,循环,ストーリーモード宴会直前の戦闘のテーマです。\nとはいえ、キャラによって使われている場合もあれば、使われていない場合もあります。\nこの曲は主人公の疑心とイライラ度が最高まで高まった時に流れて、最後に爆発する曲です。最後の短いサビ以外は全てイントロなんですよね\n　　　　　　　　　　　　　　　　　　　　　　　　　　　ＺＵＮ
sys00_op.wav,40,萃夢想,U2,系统/剧情,95.945,6.856,94.943,88.087,循环,オープニング～タイトル曲です。\n東方ぽく最初は静かですが全く盛り上がりません。祭なのに。\n最初予定になかったオープニングを無理矢理作って存在価値を高めてみました。これで一回くらいは聞いて貰えそうです。\n私が担当した中では一番「東方の世界とはこんな感じではないか」と意識して作った曲です。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
sys99_ed.wav,41,東方萃夢想,U2,系统/剧情,83.58,,,,不循环(Staff Roll),スタッフロールの曲です。\nオープニングは狙った(結果はともかく)ので、こっちでは好き勝手やってみました。スタッフロールという性質上、割と制約が無いですし。\n曲のタイミングで映像が動くのは凄く気持ち良いんですけど、処理落ちしてずれたりしたら泣くことにします。\nちなみに、しょぼいメロディオンの音は自前演奏です。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
51.wav,51,魔所,NKZ,系统/剧情,34.028,1.029,33.028,31.999,循环,シナリオ曲\n悪い子のいるところで、こっそり流れてそうな曲\nといっても短いですが･･･\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
52.wav,52,月輪,NKZ,系统/剧情,18.636,6.961,18.087,11.126,循环,シナリオ曲\n会話用というわけではないので一瞬しか流れてません。\nSFXみたいな感じです\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
53.wav,53,夏明き,NKZ,系统/剧情,58.257,3.912,57.257,53.345,循环,エンディングで流れる曲\n賑やかな祭りが終わった後は物悲しくなります。\n夏冬の祭りはぐったりして気がつくと3日後ですが･･･（後の祭り\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
54.wav,54,遍参,NKZ,系统/剧情,76.066,3.074,75.066,71.992,循环,シナリオ曲\n元の意味は各地で修行してまわることですが、\nただ暴れまわってるように見えなくもない今日この頃･･･\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
56.wav,56,裏心,NKZ,系统/剧情,22.518,0.64,21.518,20.878,循环,シナリオ曲\n行き詰ってしまった時のような雰囲気の曲です\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
57.wav,57,Intermezzo,NKZ,系统/剧情,31.128,3.43,30.128,26.698,循环,シナリオ曲\nあやしいひとのところに行くと流れそうな曲\nあ、東方の中では一番常識人でしたね\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
58.wav,58,あゆのかぜ,NKZ,系统/剧情,39.985,1.573,38.985,37.412,循环,シナリオ曲\n夏に吹くと涼しい東風。\n少女達は暴走しつつも今回の事件に当たってますが、物語が進んでもなかなか解決しない不安な感じになってます。\nまぁ、東方ぽくはないですね。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　NKZ
59.wav,59,幽境,U2,系统/剧情,37.088,1.061,36.004,34.943,循环,神秘的な曲、ということで作ることになった曲です。\n少しはそんな感じがするでしょうか。\n単体で聞くと実に面白くない曲ですが、会話曲はとしてはこれくらいが丁度良いかなと。そういう意味では結構気に入ってます。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
60.wav,60,紅夜,U2,系统/剧情,36.897,1.576,35.868,34.292,循环,割とまともにＢＧＭぽい作りをしていたようです。\n東方的なピアノとはこんな感じだろうと意識して作ったのですが、他の部分で台無しに。\nもうちょっと丁寧に作りたかった一曲です。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
61.wav,61,戦迅,U2,系统/剧情,41.082,3.565,40.022,36.457,循环,盛り上がる曲にする必要があるのに、後に控えている格闘部分よりは抑えなくてはならない、という微妙な位置なのが格闘ゲームの会話曲──とか最初は考えていたはずなのですが、激しく自己主張しています。\n展開も何も無く割と一直線に。\nちなみに開発コード名は岩男でした。激しく謎。\n
62.wav,62,仰空,U2,系统/剧情,47.003,3.613,42.014,38.401,循环,使われないと思っていたら、知らぬ間に使われていてビックリ、という実に盛り上がらない会話曲。\n会話曲はシーンを見て作っていないので、シーンに合ってない曲がかなりあるかもしれません──とちょっと言い訳。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
63.wav,63,砕月,U2,系统/剧情,48.913,2.907,47.909,45.002,循环,祭りの終わりという感じで盛り上がって欲しいエセ和風な会話曲です。\nどうも最後の直前に使われてるようなんですが、その後に控えている曲に繋がらないような気がしてなりません。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
65.wav,65,禍機,U2,系统/剧情,37.059,4.012,36.013,32.001,循环,会話曲で何かいることになるだろう、と思って初期に作った曲です。\nコメントを書いている時点で、どこに使われてるか確認してないのが実に不安です。\n奇怪なメロディー部分は後から足したのですが、ちょっと蛇足だったかもしれません。でもこの手のが大好きなのですよ。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
67.wav,67,森閑,U2,系统/剧情,42.823,1.751,41.753,40.002,循环,この曲は元々オープニングの派生曲だったのですが、面白くなかったので色々手を加えたら、何だか分からない曲になってしまいました。\nちゅぱちゅぱいってる変な音が好きです。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
68.wav,68,珍客,U2,系统/剧情,52.048,2.998,50.999,48.001,循环,これもうっかり使われてしまったので後で手を加えました。\n後半付け加えた部分は趣味全開で気に入ってはいるのですが、いかにも繋ぎ合わせた感がナントモ。\n　　　　　　　　　　　　　　　　　　　　　　　　　　　　　Ｕ２
